id,FIRMA,Adresse,PLZ,Stadt,Marke/Hersteller,Standort,quell_lat,quell_lon,lat,lon,koordinatenstatus
defi_c91c02157cae38cdf628,FC Blau-Weiß Linz,Schiffbaustraße 10-18,4020,Linz,Lifepak CR2 WLAN,Sportplatz Toilette,48.31765200000000,14.30903800000000,48.31765200000000,14.30903800000000,plausibel
defi_09a41d8aa56f1aa8bae3,Altenbetreuungsschule des Landes OÖ,Petrinumstraße 12/2,4040,Linz,Lifepak CR+,Sekretariat 2.OG,48.31918000000000,14.27515000000000,48.31918000000000,14.27515000000000,plausibel
defi_5ade4541cba0c5a41b62,BVS-Brandverhütungsstelle für Oberösterreich Reg. GenmbH,Petzoldstr. 45,4017,Linz,Lifepak CR+,BVS - EG Empfang,48.30960000000000,14.31083300000000,48.30960000000000,14.31083300000000,plausibel
defi_1ac6d0760fa9b19e14ff,IBS-Institut für Brandschutztechnik und Sicherheitsforschung GmbH,Petzoldstr. 49,4017,Linz,Lifepak CR+,IBS-Neubau EG,48.30896700000000,14.31133300000000,48.30896700000000,14.31133300000000,plausibel
defi_3d53a4f3af91886b96b4,Oö. Landes-Feuerwehrverband,Petzoldstraße 43,4020,Linz,Lifepak CR+,Gangbereich Lehrsäle,48.30995000000000,14.31045000000000,48.30995000000000,14.31045000000000,plausibel
defi_96666a7a583e80c389c1,Bezirkshauptmannschaft Urfahr-Umgebung,Peuerbachstraße 26,4040,Linz,Fred Easy,Post/Information EG,48.31677700000000,14.28613100000000,48.31677700000000,14.28613100000000,plausibel
defi_68e65017e4fccde7aae3,Volkskreditbank AG,Pfarrplatz 12,4010,Linz,Heartstart FRx,VKB Kundencenter,48.30646700000000,14.29025000000000,48.30646700000000,14.29025000000000,plausibel
defi_0cef8ac0f0a5c11ac534,Justizanstalt Linz,Pochestr. 9,4020,Linz,Lifepak CR+,Wachzimmer,48.30488300000000,14.29220000000000,48.30488300000000,14.29220000000000,plausibel
defi_19eff809bb06480c6b9e,Kwizda Pharmahandel GmbH,Poschacherstraße 37,4020,Linz,Heartstart FRx,Haupteingang Tür geradeaus beschildert!,48.28595900000000,14.31152000000000,48.28595900000000,14.31152000000000,plausibel
defi_b356dc94c5563bbacba7,Sparkasse Oberösterreich AG,Promenade 11-13,4020,Linz,Lifepak CR+,Portier,48.30363300000000,14.28668300000000,48.30363300000000,14.28668300000000,plausibel
defi_4075ca5a1c4e4e16e827,KFL Kranken- und Unfallfürsorge für oö. Landesbedienstete,Promenade 28,4020,Linz,Lifepak CR+,Gang,48.30436700000000,14.28386700000000,48.30436700000000,14.28386700000000,plausibel
defi_b1737d43f8fefeee984b,"Amt der oberösterreichischen Landesregierung, Direktion Kultur/LA2021",Promenade 37,4021,Linz,Heartstart FRx,Landesausstellung oder Promenade37 1.Stock Nr.109,48.30313000000000,14.28321000000000,48.30313000000000,14.28321000000000,plausibel
defi_cd58047a24769904fa66,"Amt der oberösterreichischen Landesregierung, Direktion Kultur/LA2021",Promenade 37,4021,Linz,Heartstart FRx,"Landesausstellung oder Promenade 37 1. Stock, 109",48.30314600000000,14.28304400000000,48.30314600000000,14.28304400000000,plausibel
defi_879b436459b87a97cbc4,Amt der oberösterreichischen Landesregierung,Promenade 37,4020,Linz,Lifepak CR+,"Stiegenhaus, 1. OG",48.30310900000000,14.28306300000000,48.30310900000000,14.28306300000000,plausibel
defi_06a4ddb7909c0d42368b,OÖ Theater und Orchester GmbH - Landestheater Linz,Promenade 39,4020,Linz,Lifepak CR+,Arzt-Dienstzimmer,48.30398300000000,14.28315000000000,48.30398300000000,14.28315000000000,plausibel
defi_52bb929d2551522af44c,"Amt der Oberösterreichischen Landesregierung, Abteilung Gebäudemanagement",Promenade 39,4020,Linz,Heartstart FRx,"Redoutensäle Linz, 1. OG Garderobe Foyer",48.30392800000000,14.28336900000000,48.30392800000000,14.28336900000000,plausibel
defi_52622f1523b74364d544,OÖ Theater und Orchester GmbH - Landestheater Linz,Promenade 39,4020,Linz,Lifepak Express,"Studiobühne 2.OG, Empfang",48.31316700000000,14.29950000000000,48.31316700000000,14.29950000000000,plausibel
defi_9371638d0451476ad361,OÖ Theater und Orchester GmbH - Landestheater Linz,Promenade 39,4020,Linz,Lifepak Express,Kasse Haupteingang (Garderobe),48.31316700000000,14.29950000000000,48.31316700000000,14.29950000000000,plausibel
defi_c8a61c5c3182d5c6c3be,Schmachtl GmbH,Pummererstr. 36,4020,Linz,Lifepak CR2 WLAN,Kopierraum 1. Stock,48.30785000000000,14.32801700000000,48.30785000000000,14.32801700000000,plausibel
defi_22d09b83c221df33d45d,Schmachtl GmbH,Pummererstraße 36,4020,Linz,Lifepak CR+,Werkstätte,48.30767700000000,14.32829400000000,48.30767700000000,14.32829400000000,plausibel
defi_37cb62e56e80cfb4db21,TIZ St. Florian,Pummerinplatz 3,4490,St. Florian,Lifepak CR+,TIZ - Schlüssel bei Hr. Binder (VKB abholen),48.20948300000000,14.39631700000000,48.20948300000000,14.39631700000000,plausibel
defi_3c9ad5d4c4572fe0f5b8,Casinos Austria AG,Rainerstr. 2-4,4020,Linz,Fred Easy,Vorraum Gästerelation,48.29836700000000,14.29035000000000,48.29836700000000,14.29035000000000,plausibel
defi_6635b7d48093ab76c5fe,BG/BRG Ramsauerstraße Elternverein,Ramsauer Straße 94,4020,Linz,Lifepak CR+,neben Sekretariat 1. OG,48.26518300000000,14.29066700000000,48.26518300000000,14.29066700000000,plausibel
defi_a39e7ca8caf9cd1ee3da,Linz AG,Ramsauerstraße 12,4020,Linz,Lifepak CR+,"Hummelhofbad Linz, Hallenbad/Ausgang Freibad",48.27551200000000,14.29118300000000,48.27551200000000,14.29118300000000,plausibel
defi_08dd2bc854f6eca86499,Linz AG,Regensburger Straße 3,4020,Linz,Lifepak Express,Erdgeschgoss,48.31329000000000,14.31753000000000,48.31329000000000,14.31753000000000,plausibel
defi_4e24895447bcd7de97ab,Linz AG,Regensburger Straße 3,4021,Linz,Lifepak CR+,"Hafenschiff Eduard, vorher kontakt mit Hr. Freiseder von der Regensburgerstr. 3",48.31175000000000,14.31489000000000,48.31175000000000,14.31489000000000,plausibel
defi_5d601d2ce8c59530089c,Berufsschule Linz 1,Reindlstraße 48-50,4040,Linz,Fred Easy,Konferenzzimmer,48.31786700000000,14.29085000000000,48.31786700000000,14.29085000000000,plausibel
defi_188c54e4f5281c156d03,KEBA Industrial Automation GmbH,Reindlstraße 51,4041,Linz,Lifepak Express,Eingang Infopoint,48.31764800000000,14.28865100000000,48.31764800000000,14.28865100000000,plausibel
defi_fe67412d62b9e16bb059,Arbeiterkammer Linz,Römerstraße 98,4020,Linz,Fred Easy,Jägermayrhof,48.30076000000000,14.26673000000000,48.30076000000000,14.26673000000000,plausibel
defi_45a4ed57f915211c9fc4,Haslinger / Nagele & Partner,Roseggerstraße 58,4020,Linz,Lifepak CR+,Empfang,48.29263800000000,14.27151700000000,48.29263800000000,14.27151700000000,plausibel
